Instancia,Experimento,Seed,Fitness,Tiempo (s),Generaciones,Solucion_Valida
AJUSTADA,A3_Sel_Ranking,13,"2,0122","124,80",150,TRUE
AJUSTADA,A3_Sel_Ranking,14,"1,8837","121,23",150,TRUE
AJUSTADA,A3_Sel_Ranking,15,"2,4643","122,64",150,TRUE
AJUSTADA,A3_Sel_Ranking,16,"1,8776","128,73",150,TRUE
AJUSTADA,A3_Sel_Ranking,17,"2,4796","126,71",150,TRUE
AJUSTADA,A3_Sel_Ranking,18,"2,0612","124,56",150,TRUE
AJUSTADA,A3_Sel_Ranking,19,"1,7888","121,85",150,TRUE
AJUSTADA,A3_Sel_Ranking,20,"2,0913","122,25",150,TRUE
AJUSTADA,A3_Sel_Ranking,21,"2,1745","122,73",150,TRUE
AJUSTADA,A3_Sel_Ranking,22,"2,2179","124,14",150,TRUE
AJUSTADA,A3_Sel_Ranking,23,"1,9082","124,74",150,TRUE
AJUSTADA,A3_Sel_Ranking,24,"1,9602","124,69",150,TRUE
AJUSTADA,A3_Sel_Ranking,25,"2,0306","124,72",150,TRUE
AJUSTADA,A3_Sel_Ranking,26,"1,9903","115,93",150,TRUE
AJUSTADA,A3_Sel_Ranking,27,"1,9541","93,97",150,TRUE
AJUSTADA,A3_Sel_Ranking,28,"1,8010","95,18",150,TRUE
AJUSTADA,A3_Sel_Ranking,29,"1,9020","93,74",150,TRUE
AJUSTADA,A3_Sel_Ranking,30,"2,0122","95,52",150,TRUE
AJUSTADA,BASELINE,1,"2,1612","111,38",150,TRUE
AJUSTADA,BASELINE,2,"1,8296","113,13",150,Truee
AJUSTADA,BASELINE,3,"1,6510","118,90",150,TRUE
AJUSTADA,BASELINE,4,"1,6082","121,27",150,TRUE
AJUSTADA,BASELINE,5,"1,4658","153,84",150,TRUE
AJUSTADA,BASELINE,6,"1,6434","117,14",150,TRUE
AJUSTADA,BASELINE,7,"1,7735","122,60",150,TRUE
AJUSTADA,BASELINE,8,"1,6357","114,05",150,TRUE
AJUSTADA,BASELINE,9,"1,5679","116,05",150,TRUE
AJUSTADA,BASELINE,10,"1,6898","119,74",150,TRUE
AJUSTADA,BASELINE,11,"2,2745","82,24",150,TRUE
AJUSTADA,BASELINE,12,"1,7122","83,41",150,TRUE
AJUSTADA,BASELINE,13,"1,5531","87,13",150,TRUE
AJUSTADA,BASELINE,14,"1,5250","125,94",150,TRUE
AJUSTADA,BASELINE,15,"1,5469","129,59",150,TRUE
AJUSTADA,BASELINE,16,"1,6005","134,66",150,TRUE
AJUSTADA,BASELINE,17,"1,6541","101,82",150,TRUE
AJUSTADA,BASELINE,18,"1,6597","98,82",150,TRUE
AJUSTADA,BASELINE,19,"1,5087","87,72",150,TRUE
AJUSTADA,BASELINE,20,"1,4714","84,89",150,TRUE
AJUSTADA,BASELINE,21,"1,4724","84,02",150,TRUE
AJUSTADA,BASELINE,22,"1,7026","88,32",150,TRUE
AJUSTADA,BASELINE,23,"1,6265","89,22",150,TRUE
AJUSTADA,BASELINE,24,"1,5250","84,06",150,TRUE
AJUSTADA,BASELINE,25,"2,2041","86,80",150,TRUE
AJUSTADA,BASELINE,26,"1,4663","84,09",150,TRUE
AJUSTADA,BASELINE,27,"1,4821","93,96",150,TRUE
AJUSTADA,BASELINE,28,"1,7617","87,36",150,TRUE
AJUSTADA,BASELINE,29,"1,6633","87,78",150,TRUE
AJUSTADA,BASELINE,30,"1,9413","103,79",150,TRUE
