Instancia,Experimento,Seed,Fitness,Tiempo(s),Generaciones,Seleccion,Cruce,Mutacion
BASE,A1_Cross_TwoPoint,26,1.6635802469135799,124.17026925086975,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,27,1.7962962962962958,125.44546270370483,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,28,1.7006172839506166,126.6475121974945,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,29,1.8117283950617282,124.72810792922974,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A1_Cross_TwoPoint,30,1.7160493827160495,126.0420937538147,150,torneo_deterministico,dos_puntos,hibrida_adaptativa
BASE,A2_Mut_Flip,1,1.9444444444444444,115.32607173919678,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,2,1.8487654320987652,118.25354027748108,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,3,1.7685185185185186,116.34086155891418,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,4,1.8179012345679006,117.03484559059143,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,5,1.8240740740740737,118.95266914367676,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,6,1.8302469135802466,117.69653296470642,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,7,1.8672839506172845,120.04794263839722,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,8,1.8950617283950617,112.39129614830017,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,9,1.7685185185185182,111.8875322341919,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,10,1.7469135802469133,111.9626350402832,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,11,1.9444444444444442,112.84226107597351,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,12,1.8117283950617284,112.15058588981628,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,13,1.5679012345679006,119.01479649543762,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,14,1.716049382716049,118.0815589427948,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,15,1.7499999999999996,118.53058671951294,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,16,1.7037037037037033,116.74581408500671,150,torneo_deterministico,bloques_verticales,flip_simple
BASE,A2_Mut_Flip,17,1.8611111111111105,112.60000729560852,150,torneo_deterministico,bloques_verticales,flip_simple
