Instancia,Experimento,Seed,Fitness,Tiempo(s),Generaciones,Seleccion,Cruce,Mutacion
AJUSTADA,A2_Mut_Intercambio,6,1.7693877551020407,88.55784058570862,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,7,2.0357142857142856,88.95377731323242,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,8,1.7397959183673484,89.50608730316162,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,9,1.6632653061224492,90.11010646820068,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,10,1.599489795918367,94.12404608726501,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,11,2.0045918367346935,99.36846709251404,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,12,1.5678571428571426,94.22331595420837,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,13,1.724489795918367,101.00115895271301,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,14,1.587244897959183,99.0963876247406,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,15,1.5556122448979588,98.81517124176025,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,16,2.4499999999999997,96.41198515892029,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,17,1.6882653061224484,95.38313794136047,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,18,1.7469387755102037,96.19242644309998,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,19,1.7948979591836736,96.66398882865906,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,20,1.6204081632653058,98.24593305587769,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,21,1.8010204081632653,94.41941523551941,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,22,1.805102040816326,96.72868967056274,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,23,1.6433673469387755,95.45100545883179,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,24,1.7091836734693875,101.15976452827454,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,25,1.5678571428571426,96.69776368141174,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,26,1.896428571428571,98.3191831111908,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,27,1.4897959183673464,100.40158128738403,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,28,1.7025510204081633,112.1831328868866,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,29,1.6938775510204087,97.42813992500305,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Intercambio,30,2.031122448979594,100.350102186203,150,torneo_deterministico,bloques_verticales,intercambio_dia
AJUSTADA,A2_Mut_Reasignar,1,2.5617346938775514,87.7013738155365,150,torneo_deterministico,bloques_verticales,reasignar_turno
